COD_MUN_O,Area_muni,Suitability,Episode,Months_episode,Biome,Cases,Pop,R_SPAT_EBS10k,LEBS_by_month10k
5002,510.568,NA,La Nina 2010-2011,10,Andean,0,19672,0,0
5004,291.715,NA,La Nina 2010-2011,10,Andean,0,2336,0,0
5030,82.388,NA,La Nina 2010-2011,10,Andean,0,28664,0,0
5034,409.938,NA,La Nina 2010-2011,10,Andean,0,44149,0,0
5036,81.742,NA,La Nina 2010-2011,10,Andean,0,8415,0,0
5038,321.374,NA,La Nina 2010-2011,10,Andean,0,11811,0,0
5055,244.684,NA,La Nina 2010-2011,10,Andean,0,9240,0,0
5059,111.121,NA,La Nina 2010-2011,10,Andean,0,4578,0,0
5091,172.987,NA,La Nina 2010-2011,10,Andean,0,9688,0,0
5093,276.977,NA,La Nina 2010-2011,10,Andean,0,17245,0,0
5101,275.657,NA,La Nina 2010-2011,10,Andean,0,27579,0,0
5129,133.463,NA,La Nina 2010-2011,10,Andean,0,74072,0,0
5138,361.532,NA,La Nina 2010-2011,10,Andean,0,16808,0,0
5142,263.526,NA,La Nina 2010-2011,10,Andean,0,4700,0,0
5145,90.901,NA,La Nina 2010-2011,10,Andean,0,5433,0,0
5148,439.558,NA,La Nina 2010-2011,10,Andean,0,44403,0,0
5190,46.211,NA,La Nina 2010-2011,10,Andean,0,9315,0,0
5197,225.521,NA,La Nina 2010-2011,10,Andean,0,15035,0,0
5209,239.154,NA,La Nina 2010-2011,10,Andean,0,20998,0,0
5266,46.928,NA,La Nina 2010-2011,10,Andean,0,202310,0,0
5282,248.761,NA,La Nina 2010-2011,10,Andean,0,22055,0,0
5284,1347.393,NA,La Nina 2010-2011,10,Andean,0,17913,0,0
5313,188.968,NA,La Nina 2010-2011,10,Andean,0,9824,0,0
5315,120.686,NA,La Nina 2010-2011,10,Andean,0,6274,0,0
5353,56.111,NA,La Nina 2010-2011,10,Andean,0,4849,0,0
5360,21.841,NA,La Nina 2010-2011,10,Andean,0,255369,0,0
5364,200.683,NA,La Nina 2010-2011,10,Andean,0,14043,0,0
5368,203.732,NA,La Nina 2010-2011,10,Andean,0,12394,0,0
5376,135.048,NA,La Nina 2010-2011,10,Andean,0,50153,0,0
5380,37.463,NA,La Nina 2010-2011,10,Andean,0,58414,0,0
5390,54.165,NA,La Nina 2010-2011,10,Andean,0,6776,0,0
5400,172.501,NA,La Nina 2010-2011,10,Andean,0,18675,0,0
5425,406.45,NA,La Nina 2010-2011,10,Andean,0,7179,0,0
5440,114.235,NA,La Nina 2010-2011,10,Andean,0,50161,0,0
5467,75.863,NA,La Nina 2010-2011,10,Andean,0,6716,0,0
5475,1263.988,NA,La Nina 2010-2011,10,Andean,0,4222,0,0
5480,1225.035,NA,La Nina 2010-2011,10,Andean,0,18857,0,0
5483,316.194,NA,La Nina 2010-2011,10,Andean,0,16553,0,0
5576,75.673,NA,La Nina 2010-2011,10,Andean,0,7522,0,0
5579,1222.99,NA,La Nina 2010-2011,10,Andean,0,43617,0,0
5585,573.678,NA,La Nina 2010-2011,10,Andean,0,17915,0,0
5591,368.502,NA,La Nina 2010-2011,10,Andean,0,18493,0,0
5607,265.467,NA,La Nina 2010-2011,10,Andean,0,18281,0,0
5615,198.491,NA,La Nina 2010-2011,10,Andean,0,112304,0,0
5631,15.381,NA,La Nina 2010-2011,10,Andean,0,48997,0,0
5642,295.752,NA,La Nina 2010-2011,10,Andean,0,17866,0,0
5649,719.041,NA,La Nina 2010-2011,10,Andean,0,15951,0,0
5652,353.986,NA,La Nina 2010-2011,10,Andean,0,5733,0,0
5658,126.031,NA,La Nina 2010-2011,10,Andean,0,3224,0,0
5660,515.781,NA,La Nina 2010-2011,10,Andean,0,10970,0,0
5679,209.875,NA,La Nina 2010-2011,10,Andean,0,22713,0,0
5697,77.35,NA,La Nina 2010-2011,10,Andean,0,26834,0,0
5756,1349.607,NA,La Nina 2010-2011,10,Andean,0,36781,0,0
5789,254.865,NA,La Nina 2010-2011,10,Andean,0,15387,0,0
5792,120.415,NA,La Nina 2010-2011,10,Andean,0,7473,0,0
5809,141.02,NA,La Nina 2010-2011,10,Andean,0,13980,0,0
5842,266.512,NA,La Nina 2010-2011,10,Andean,0,8268,0,0
5847,2557.569,NA,La Nina 2010-2011,10,Andean,0,42260,0,0
5856,126.997,NA,La Nina 2010-2011,10,Andean,0,6246,0,0
5858,526.616,NA,La Nina 2010-2011,10,Andean,0,10147,0,0
5861,141.806,NA,La Nina 2010-2011,10,Andean,0,13332,0,0
5873,1654.567,NA,0Neutral 2012-2014,25,Andean,0,5568,0,0
5873,1654.567,NA,La Nina 2010-2011,10,Andean,0,5543,0,0
5885,443.984,NA,La Nina 2010-2011,10,Andean,0,8033,0,0
5890,992.688,NA,La Nina 2010-2011,10,Andean,0,22330,0,0
17001,446.347,NA,La Nina 2010-2011,10,Andean,0,390112,0,0
17013,475.769,NA,La Nina 2010-2011,10,Andean,0,22944,0,0
17042,208.87,NA,La Nina 2010-2011,10,Andean,0,34310,0,0
17050,145.846,NA,La Nina 2010-2011,10,Andean,0,11971,0,0
17272,195.321,NA,La Nina 2010-2011,10,Andean,0,11704,0,0
17380,532.631,NA,La Nina 2010-2011,10,Andean,0,75412,0,0
17388,89.305,NA,La Nina 2010-2011,10,Andean,0,5976,0,0
17433,201.983,NA,La Nina 2010-2011,10,Andean,0,23985,0,0
17442,37.965,NA,La Nina 2010-2011,10,Andean,0,8848,0,0
17444,88.74,NA,La Nina 2010-2011,10,Andean,0,14940,0,0
17446,377.168,NA,La Nina 2010-2011,10,Andean,0,3439,0,0
17486,369.711,NA,La Nina 2010-2011,10,Andean,0,29589,0,0
17495,227.65,NA,La Nina 2010-2011,10,Andean,0,6589,0,0
17513,258.512,NA,La Nina 2010-2011,10,Andean,0,13156,0,0
17541,496.094,NA,La Nina 2010-2011,10,Andean,0,26384,0,0
17614,373.716,NA,La Nina 2010-2011,10,Andean,0,58627,0,0
17616,90.19,NA,La Nina 2010-2011,10,Andean,0,10027,0,0
17653,390.383,NA,La Nina 2010-2011,10,Andean,0,17993,0,0
17662,756.728,NA,La Nina 2010-2011,10,Andean,0,25739,0,0
17665,61.067,NA,La Nina 2010-2011,10,Andean,0,7579,0,0
17777,119.373,NA,La Nina 2010-2011,10,Andean,0,25984,0,0
17867,579.785,NA,La Nina 2010-2011,10,Andean,0,8755,0,0
20032,686.952,NA,El Nino 2015-2016,10,Caribe,0,19255,0,0
25572,509.856,NA,La Nina 2010-2011,10,Andean,0,17392,0,0
27001,3494.487,NA,0Neutral 2012-2014,25,Pacific,0,115537,0,0
27001,3494.487,NA,La Nina 2010-2011,10,Pacific,0,114798,0,0
27025,2064.221,NA,0Neutral 2012-2014,25,Pacific,0,35846,0,0
27025,2064.221,NA,La Nina 2010-2011,10,Pacific,0,33310,0,0
27050,431.214,NA,0Neutral 2012-2014,25,Pacific,0,9664,0,0
27050,431.214,NA,El Nino 2015-2016,10,Pacific,0,10195,0,0
27050,431.214,NA,La Nina 2010-2011,10,Pacific,0,8906,0,0
27073,805.009,NA,0Neutral 2012-2014,25,Pacific,0,8103,0,0
27073,805.009,NA,El Nino 2015-2016,10,Pacific,0,8016,0,0
27073,805.009,NA,La Nina 2010-2011,10,Pacific,0,8219,0,0
27075,910.779,NA,0Neutral 2012-2014,25,Pacific,0,9303,0,0
27075,910.779,NA,La Nina 2010-2011,10,Pacific,0,9231,0,0
27077,3414.39,NA,0Neutral 2012-2014,25,Pacific,0,17290,0,0
27077,3414.39,NA,El Nino 2015-2016,10,Pacific,0,17507,0,0
27077,3414.39,NA,La Nina 2010-2011,10,Pacific,0,16979,0,0
27099,3597.522,NA,0Neutral 2012-2014,25,Pacific,0,10077,0,0
27099,3597.522,NA,La Nina 2010-2011,10,Pacific,0,10045,0,0
27135,378.195,NA,0Neutral 2012-2014,25,Pacific,0,7777,0,0
27135,378.195,NA,El Nino 2015-2016,10,Pacific,0,8175,0,0
27135,378.195,NA,La Nina 2010-2011,10,Pacific,0,7218,0,0
27150,3168.014,NA,La Nina 2010-2011,10,Pacific,0,5335,0,0
27160,407.208,NA,0Neutral 2012-2014,25,Pacific,0,10010,0,0
27160,407.208,NA,El Nino 2015-2016,10,Pacific,0,10109,0,0
27160,407.208,NA,La Nina 2010-2011,10,Pacific,0,9854,0,0
27245,808.844,NA,0Neutral 2012-2014,25,Pacific,0,13819,0,0
27245,808.844,NA,La Nina 2010-2011,10,Pacific,0,13123,0,0
27413,833.614,NA,0Neutral 2012-2014,25,Pacific,0,11109,0,0
27413,833.614,NA,El Nino 2015-2016,10,Pacific,0,11284,0,0
27413,833.614,NA,La Nina 2010-2011,10,Pacific,0,10835,0,0
27425,1810.222,NA,0Neutral 2012-2014,25,Pacific,0,28531,0,0
27425,1810.222,NA,La Nina 2010-2011,10,Pacific,0,25811,0,0
27430,1385.34,NA,0Neutral 2012-2014,25,Pacific,0,13370,0,0
27430,1385.34,NA,El Nino 2015-2016,10,Pacific,0,13750,0,0
27430,1385.34,NA,La Nina 2010-2011,10,Pacific,0,12801,0,0
27495,724.352,NA,0Neutral 2012-2014,25,Pacific,0,8481,0,0
27495,724.352,NA,El Nino 2015-2016,10,Pacific,0,8668,0,0
27495,724.352,NA,La Nina 2010-2011,10,Pacific,0,8187,0,0
27580,290.486,NA,0Neutral 2012-2014,25,Pacific,0,9522,0,0
27580,290.486,NA,El Nino 2015-2016,10,Pacific,0,9863,0,0
27580,290.486,NA,La Nina 2010-2011,10,Pacific,0,9017,0,0
27600,689.21,NA,0Neutral 2012-2014,25,Pacific,0,8849,0,0
27600,689.21,NA,El Nino 2015-2016,10,Pacific,0,9062,0,0
27600,689.21,NA,La Nina 2010-2011,10,Pacific,0,8518,0,0
